,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
1189,81.481939,626.20002,2012-04-11,636.87001,623.339981,636.199982,AAPL,174153700
1190,81.77341,628.440018,2012-04-10,644.00,626.000015,639.93,AAPL,222431300
1191,82.787052,636.229996,2012-04-09,639.840012,625.300026,626.130005,AAPL,149384200
1192,82.45524,633.679977,2012-04-05,634.660027,623.400009,626.980011,AAPL,160324500
1193,81.236006,624.30999,2012-04-04,625.859985,617.000023,624.349991,AAPL,143245200
1194,81.887913,629.319984,2012-04-03,632.209984,622.510002,627.300018,AAPL,208639900
1195,80.496921,618.63002,2012-04-02,618.769997,600.37999,601.830009,AAPL,149587900
1196,78.014206,599.550011,2012-03-30,610.559982,597.939987,608.769981,AAPL,182759500
1197,79.355754,609.859993,2012-03-29,616.560013,607.230026,612.780006,AAPL,152059600
1198,80.365497,617.62001,2012-03-28,621.450005,610.30999,618.379974,AAPL,163865100
1199,79.956917,614.480019,2012-03-27,616.280006,606.060013,606.180016,AAPL,151782400
1200,78.981003,606.97998,2012-03-26,607.150024,595.259979,599.790016,AAPL,148935500
1201,77.558781,596.050011,2012-03-23,601.799995,594.399986,600.490005,AAPL,107622200
1202,77.986882,599.340019,2012-03-22,604.499977,595.529999,597.779984,AAPL,155967700
1203,78.39806,602.499985,2012-03-21,609.650002,601.410027,602.73999,AAPL,161010500
1204,78.84828,605.959984,2012-03-20,606.899979,591.480026,599.51001,AAPL,204165500
1205,78.215893,601.100006,2012-03-19,601.769981,589.050011,598.37001,AAPL,225309000
1206,76.195107,585.569984,2012-03-16,589.199974,577.999985,584.719978,AAPL,206371900
1207,76.193808,585.559998,2012-03-15,600.009995,578.550011,599.609985,AAPL,289929500
1208,76.716897,589.580009,2012-03-14,594.719994,575.399979,578.050026,AAPL,354711000
1209,73.921891,568.099998,2012-03-13,568.18,555.750023,557.540024,AAPL,172713800
1210,71.826935,551.999977,2012-03-12,551.999977,547.000023,548.979988,AAPL,101820600
1211,70.938213,545.170021,2012-03-09,547.740013,543.110001,544.209999,AAPL,104729800
1212,70.524421,541.989975,2012-03-08,542.989998,532.120003,534.689995,AAPL,129114300
1213,69.054056,530.69001,2012-03-07,537.779999,523.299988,536.800003,AAPL,199630200
1214,68.9981,530.259987,2012-03-06,533.690025,516.219986,523.659996,AAPL,202559700
1215,69.375457,533.160027,2012-03-05,547.47998,526.000023,545.420013,AAPL,202281100
1216,70.939512,545.180008,2012-03-02,546.800018,542.519974,544.240013,AAPL,107928100
1217,70.847122,544.469978,2012-03-01,548.209984,538.769981,548.169983,AAPL,170817500
1218,70.582982,542.440025,2012-02-29,547.610023,535.700005,541.560005,AAPL,238002800
1219,69.668228,535.410011,2012-02-28,535.410011,525.850006,527.960014,AAPL,150096800
1220,68.412559,525.760017,2012-02-27,528.50,516.280014,521.309982,AAPL,136895500
1221,67.976648,522.409981,2012-02-24,522.899979,518.640015,519.669998,AAPL,103768000
1222,67.193317,516.389977,2012-02-23,517.830009,509.499992,515.079987,AAPL,142006900
1223,66.757413,513.039993,2012-02-22,515.489983,509.070023,513.079994,AAPL,120825600
